provider_name,Item_name,short_desc,long_desc,Logo_image_url,max_quantity,min_quantity,tag_name,code,value,category name,category code,sku,min_price,max_price,stock_quantity,stock_status,fulfillments,base_price,tax,currency,quantity_unit
MotorCity Charge,MotorCity Charge Fast Charger 1,Fast EV Charger,MotorCity Charge Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://motorcity-charge.com/charger1.png,1,1,"Type2, GB/T",port_type,"Type2, GB/T",EV Chargers,EV-CAT,MOT-1,160,160,10,In Stock,Onsite,148.15,11.85,USD,per kWh
MotorCity Charge,MotorCity Charge Fast Charger 2,Fast EV Charger,MotorCity Charge Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://motorcity-charge.com/charger2.png,1,1,GB/T,port_type,GB/T,EV Chargers,EV-CAT,MOT-2,180,180,10,In Stock,Onsite,166.67,13.33,USD,per kWh
GreatLakes EV,GreatLakes EV Fast Charger 1,Fast EV Charger,GreatLakes EV Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://greatlakes-ev.com/charger1.png,1,1,CCS,port_type,CCS,EV Chargers,EV-CAT,GRE-1,180,180,10,In Stock,Onsite,166.67,13.33,USD,per kWh
GreatLakes EV,GreatLakes EV Fast Charger 2,Fast EV Charger,GreatLakes EV Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://greatlakes-ev.com/charger2.png,1,1,"CCS, GB/T, Type2",port_type,"CCS, GB/T, Type2",EV Chargers,EV-CAT,GRE-2,110,110,10,In Stock,Onsite,101.85,8.15,USD,per kWh
Detroit Power EV,Detroit Power EV Fast Charger 1,Fast EV Charger,Detroit Power EV Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://detroit-power-ev.com/charger1.png,1,1,"CHAdeMO, Type2",port_type,"CHAdeMO, Type2",EV Chargers,EV-CAT,DET-1,130,130,10,In Stock,Onsite,120.37,9.63,USD,per kWh
Detroit Power EV,Detroit Power EV Fast Charger 2,Fast EV Charger,Detroit Power EV Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://detroit-power-ev.com/charger2.png,1,1,CCS,port_type,CCS,EV Chargers,EV-CAT,DET-2,110,110,10,In Stock,Onsite,101.85,8.15,USD,per kWh
CampusCharge,CampusCharge Fast Charger 1,Fast EV Charger,CampusCharge Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://campuscharge.com/charger1.png,1,1,"GB/T, CCS, CHAdeMO, Type2",port_type,"GB/T, CCS, CHAdeMO, Type2",EV Chargers,EV-CAT,CAM-1,80,80,10,In Stock,Onsite,74.07,5.93,USD,per kWh
CampusCharge,CampusCharge Fast Charger 2,Fast EV Charger,CampusCharge Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://campuscharge.com/charger2.png,1,1,"CHAdeMO, Type2",port_type,"CHAdeMO, Type2",EV Chargers,EV-CAT,CAM-2,150,150,10,In Stock,Onsite,138.89,11.11,USD,per kWh
Stanford Green EV,Stanford Green EV Fast Charger 1,Fast EV Charger,Stanford Green EV Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://stanford-green-ev.com/charger1.png,1,1,CCS,port_type,CCS,EV Chargers,EV-CAT,STA-1,160,160,10,In Stock,Onsite,148.15,11.85,USD,per kWh
Stanford Green EV,Stanford Green EV Fast Charger 2,Fast EV Charger,Stanford Green EV Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://stanford-green-ev.com/charger2.png,1,1,"Type2, GB/T",port_type,"Type2, GB/T",EV Chargers,EV-CAT,STA-2,110,110,10,In Stock,Onsite,101.85,8.15,USD,per kWh
UniCharge Stanford,UniCharge Stanford Fast Charger 1,Fast EV Charger,UniCharge Stanford Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://unicharge-stanford.com/charger1.png,1,1,Type2,port_type,Type2,EV Chargers,EV-CAT,UNI-1,90,90,10,In Stock,Onsite,83.33,6.67,USD,per kWh
UniCharge Stanford,UniCharge Stanford Fast Charger 2,Fast EV Charger,UniCharge Stanford Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://unicharge-stanford.com/charger2.png,1,1,"GB/T, Type2, CCS, CHAdeMO",port_type,"GB/T, Type2, CCS, CHAdeMO",EV Chargers,EV-CAT,UNI-2,170,170,10,In Stock,Onsite,157.41,12.59,USD,per kWh
Capital Volt,Capital Volt Fast Charger 1,Fast EV Charger,Capital Volt Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://capital-volt.com/charger1.png,1,1,"GB/T, Type2, CCS, CHAdeMO",port_type,"GB/T, Type2, CCS, CHAdeMO",EV Chargers,EV-CAT,CAP-1,100,100,10,In Stock,Onsite,92.59,7.41,USD,per kWh
Capital Volt,Capital Volt Fast Charger 2,Fast EV Charger,Capital Volt Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://capital-volt.com/charger2.png,1,1,"GB/T, CHAdeMO, CCS",port_type,"GB/T, CHAdeMO, CCS",EV Chargers,EV-CAT,CAP-2,160,160,10,In Stock,Onsite,148.15,11.85,USD,per kWh
Monument EV,Monument EV Fast Charger 1,Fast EV Charger,Monument EV Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://monument-ev.com/charger1.png,1,1,"CCS, CHAdeMO",port_type,"CCS, CHAdeMO",EV Chargers,EV-CAT,MON-1,120,120,10,In Stock,Onsite,111.11,8.89,USD,per kWh
Monument EV,Monument EV Fast Charger 2,Fast EV Charger,Monument EV Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://monument-ev.com/charger2.png,1,1,"Type2, CCS",port_type,"Type2, CCS",EV Chargers,EV-CAT,MON-2,70,70,10,In Stock,Onsite,64.81,5.19,USD,per kWh
DC Charge Hub,DC Charge Hub Fast Charger 1,Fast EV Charger,DC Charge Hub Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://dc-charge-hub.com/charger1.png,1,1,"Type2, GB/T",port_type,"Type2, GB/T",EV Chargers,EV-CAT,DC -1,90,90,10,In Stock,Onsite,83.33,6.67,USD,per kWh
DC Charge Hub,DC Charge Hub Fast Charger 2,Fast EV Charger,DC Charge Hub Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://dc-charge-hub.com/charger2.png,1,1,"CHAdeMO, GB/T, Type2",port_type,"CHAdeMO, GB/T, Type2",EV Chargers,EV-CAT,DC -2,170,170,10,In Stock,Onsite,157.41,12.59,USD,per kWh
LibraryCharge,LibraryCharge Fast Charger 1,Fast EV Charger,LibraryCharge Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://librarycharge.com/charger1.png,1,1,GB/T,port_type,GB/T,EV Chargers,EV-CAT,LIB-1,130,130,10,In Stock,Onsite,120.37,9.63,USD,per kWh
LibraryCharge,LibraryCharge Fast Charger 2,Fast EV Charger,LibraryCharge Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://librarycharge.com/charger2.png,1,1,"CCS, Type2, CHAdeMO",port_type,"CCS, Type2, CHAdeMO",EV Chargers,EV-CAT,LIB-2,100,100,10,In Stock,Onsite,92.59,7.41,USD,per kWh
NYC EV Connect,NYC EV Connect Fast Charger 1,Fast EV Charger,NYC EV Connect Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://nyc-ev-connect.com/charger1.png,1,1,GB/T,port_type,GB/T,EV Chargers,EV-CAT,NYC-1,80,80,10,In Stock,Onsite,74.07,5.93,USD,per kWh
NYC EV Connect,NYC EV Connect Fast Charger 2,Fast EV Charger,NYC EV Connect Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://nyc-ev-connect.com/charger2.png,1,1,"Type2, CHAdeMO, GB/T",port_type,"Type2, CHAdeMO, GB/T",EV Chargers,EV-CAT,NYC-2,100,100,10,In Stock,Onsite,92.59,7.41,USD,per kWh
BigApple Charge,BigApple Charge Fast Charger 1,Fast EV Charger,BigApple Charge Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://bigapple-charge.com/charger1.png,1,1,"CCS, Type2, GB/T, CHAdeMO",port_type,"CCS, Type2, GB/T, CHAdeMO",EV Chargers,EV-CAT,BIG-1,130,130,10,In Stock,Onsite,120.37,9.63,USD,per kWh
BigApple Charge,BigApple Charge Fast Charger 2,Fast EV Charger,BigApple Charge Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://bigapple-charge.com/charger2.png,1,1,"CHAdeMO, CCS, Type2, GB/T",port_type,"CHAdeMO, CCS, Type2, GB/T",EV Chargers,EV-CAT,BIG-2,80,80,10,In Stock,Onsite,74.07,5.93,USD,per kWh
